,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
30,BBC,Wed Mar 07 14:30:03 +0000 2018,😱 The most hardcore baptism you’ll ever see. https://t.co/aEsVqMUPQ2,0.0,0.0,0.0,1.0,70
31,BBC,Wed Mar 07 13:24:05 +0000 2018,"#InternationalWomensDay is tomorrow, so there's no better time to test how much you know about female suffrage.
👉… https://t.co/6ulqfr8zyL",0.1742,0.14,0.109,0.751,69
32,BBC,Wed Mar 07 12:30:04 +0000 2018,🚂💀 All aboard London's Victorian railway for the dead. https://t.co/L7vJO4ybeD,-0.6369,0.082,0.321,0.597,68
33,BBC,Wed Mar 07 11:42:44 +0000 2018,"😍 The first polar bear cub to be born in the UK for 25 years has emerged at the @RZSS's @HighlandWPark!
👉… https://t.co/4fhzBaxwjF",0.0,0.0,0.0,1.0,67
34,BBC,Wed Mar 07 11:07:18 +0000 2018,"RT @bbccomedy: Today would have been the 60th birthday of the legend, the genius, the king Rik Mayall. We miss you, sir! #RikMayallDay http…",-0.2244,0.0,0.076,0.924,66
35,BBC,Wed Mar 07 10:46:56 +0000 2018,The wreck of a US aircraft carrier that was sunk during WW2 has been found off the coast of Australia. https://t.co/8NQfRdFXTE,-0.4404,0.0,0.132,0.868,65
36,BBC,Wed Mar 07 10:41:15 +0000 2018,RT @BBCFOUR: There's a very good reason this extreme firework was banned... https://t.co/pdfpcDiJ4h,0.4927,0.225,0.0,0.775,64
37,BBC,Wed Mar 07 09:58:38 +0000 2018,"RT @CBeebiesHQ: 3 out of 4 parents wouldn’t be able to save their baby from choking. 

Learn how to help in a first aid emergency…https://t…",0.4404,0.211,0.108,0.681,63
38,BBC,Wed Mar 07 09:00:07 +0000 2018,A moving story of how one woman transformed Alzheimer’s research forever. ❤️https://t.co/2fwJDbWT8x,0.0,0.0,0.0,1.0,62
39,BBC,Wed Mar 07 08:46:22 +0000 2018,RT @BBCOne: They've smashed the record for the highest profit EVER on Antiques Road Trip! 😲 https://t.co/TNuRcp2EOq,0.4926,0.175,0.0,0.825,61
40,BBC,Wed Mar 07 08:46:14 +0000 2018,"RT @bbc5live: What happens to your old paint?

A scheme in Leeds to recycle unused paint has saved hundreds of tons of leftovers from endin…",0.4215,0.109,0.0,0.891,60
41,BBC,Wed Mar 07 08:45:50 +0000 2018,"RT @BBCTwo: When this father and daughter paddled into the sea, they had no idea how much danger they were in... #SavingLivesAtSea https://…",-0.6808,0.0,0.211,0.789,59
